runtime,popularity,vote_average,popularity_log
120.0,22.64377600000001,5.7,3.1630999090549556
157.0,18.866672,6.7,2.9890435538595344
82.0,18.251129,4.9,2.9575697083646366
115.0,95.914473,6.7,4.573828867908721
144.0,44.490453,6.6,3.8175024797649084
84.0,30.475297,5.8,3.449203015946257
97.0,62.479574,6.7,4.150718184860644
141.0,167.93287,7.6,5.129501417075823
136.0,37.68056,6.5,3.6553371482465793
104.0,1.004579,3.7,0.6954340636483386
118.0,52.995628,6.1,3.988903080323634
155.0,95.301296,7.9,4.567481776657448
145.0,65.948959,7.1,4.203930523099194
161.0,132.397737,7.4,4.893335169319641
144.0,88.935165,7.3,4.499089021836616
119.0,51.188633,5.6,3.9548647125550525
137.0,101.74155,7.7,4.632216611551756
140.0,33.691694,6.5,3.546500292305965
157.0,42.361215,7.4,3.769565377956516
141.0,38.729418,6.8,3.682091920839272
106.0,40.597856,6.2,3.728048627477527
98.0,32.389353,5.4,3.508237076708826
107.0,24.399642,6.1,3.2347350794369736
115.0,24.507987,5.6,3.238991618808862
165.0,82.121691,7.8,4.420305690664881
91.0,46.727940999999994,6.8,3.865516991599989
78.0,51.113717,7.2,3.9534281962563704
103.0,53.73289200000001,6.1,4.002464844980316
131.0,58.849256,6.4,4.091829000849021
104.0,30.863434,4.9,3.4614590827288603
101.0,31.58621500000001,6.4,3.483889346184487
102.0,36.711378,6.4,3.6299618526339135
103.0,41.426678,6.0,3.747777362488979
121.0,20.652943,5.5,3.0751413805450016
143.0,52.792678,7.3,3.9851373612514736
121.0,48.205606,5.2,3.8960075600966726
129.0,58.782359,6.7,4.090710617435526
172.0,73.872343,6.6,4.3157845699962945
97.0,37.321848,6.5,3.6460201774095777
104.0,32.271938,4.2,3.5047143390101656
99.0,76.842247,5.6,4.354684304367583
95.0,38.924136,7.2,3.686981053290835
102.0,19.38841,5.3,3.0149666021441446
127.0,61.025639,6.1,4.127547831822257
114.0,33.507289,5.5,3.5411705770841366
94.0,17.815595000000005,3.6,2.934686047249873
122.0,50.767332,6.5,3.946759293947403
95.0,12.092241,4.4,2.572019764657712
115.0,30.254021,6.4,3.442148039904879
88.0,34.308098,6.5,3.564112342729075
110.0,3.091077,7.1,1.4088082605740935
130.0,41.862983,6.0,3.7580085863169748
167.0,46.160048,7.1,3.853547093480357
145.0,12.516546,7.1,2.603914564603156
85.0,23.230851,5.9,3.187626655961577
93.0,19.224754,5.4,3.006907299706183
144.0,44.455166,7.2,3.8167264775306333
85.0,16.460356,5.6,2.8599329396652204
126.0,109.528572,7.3,4.705274057670058
146.0,18.325897,5.4,2.9614460099551323
89.0,37.054554,7.0,3.639020761771554
88.0,65.22986800000001,6.2,4.193131539440395
105.0,101.187052,6.7,4.626804976984103
136.0,29.257137,6.6,3.409732090533126
100.0,85.688789,7.6,4.462324567467024
102.0,63.628459,5.2,4.168654855574175
100.0,41.498631,5.7,3.749471863646855
119.0,58.991388,5.9,4.0942010185868725
92.0,1.859364,5.7,1.050599222479814
105.0,138.433168,7.0,4.937585404027487
95.0,21.436682,6.3,3.110697208759419
98.0,65.40259499999999,5.2,4.195736137044034
