log_budget,log_revenue
16.811242831518264,17.27115755093421
15.201804919084164,17.048092029888586
14.914122846632385,13.997832114758229
18.951308995014536,19.21865936473441
17.72753356339242,18.394717661156392
16.70588231586044,18.837209582656083
17.599700191882537,15.063786618182299
18.420680743952367,19.33411983375738
17.216707939626428,18.376884277991437
16.99356438831222,17.55567969270923
17.216707939626428,16.48689677469489
18.064005800013632,19.908683269508142
17.72753356339242,17.281802649812192
16.523560759066484,17.596241239324804
18.03501826314038,18.038949672073848
13.122363377404328,11.920235536752422
18.60300230074632,20.227356025632655
17.09265529095645,18.886772406424118
17.034386382832476,18.078321891153585
16.454567887579532,14.378100205307444
14.508657738524219,17.01829082146888
18.31532022829454,18.003652777917797
18.31532022829454,18.90827663664486
12.100712129872347,13.710150042306449
16.588099280204055,16.842129489632935
16.300417207752275,18.143366631306257
16.523560759066484,17.220125991426123
12.429216196844383,16.302188305099698
18.410630408098864,19.32178925901524
14.403297222866392,16.060495351265903
17.37085861945369,18.098220031847397
17.399029496420383,18.23628584727396
19.11382792451231,20.09190025570506
15.89495209964411,13.223422455128219
18.683045008419857,19.81486921940004
17.034386382832476,17.76372428691376
17.98989782785991,18.353745603883212
14.508657738524219,14.17431932368516
14.978661367769956,17.32392950246117
17.50439001207821,17.548336703643894
0.0,15.955576721460545
18.51599092375669,19.637313228300346
17.72753356339242,17.92823379296389
17.14771506813948,18.708461606524242
17.37085861945369,16.898307657079496
18.184958410431296,20.646695111627153
17.529082624668582,15.823507788332392
18.132998671500584,19.721621495953116
18.197537192638155,19.941716550599875
15.201804919084164,16.410910925953846
17.622173047734595,15.343219408294809
17.034386382832476,16.9759094530735
17.26549810379586,18.30930641484656
15.068273526459642,16.381040592953823
19.283570699099407,21.748577807169436
15.520258650202699,15.397577273602243
18.132998671500584,18.402108981431244
16.300417207752275,17.84617798794684
17.7667542765457,19.68829835673614
15.89495209964411,16.933168784539983
17.50439001207821,17.72006129540369
16.38045991542581,17.32406645794693
16.811242831518264,18.993033274118307
18.643824295266576,20.11884009621815
17.909855120186375,17.847269890133088
18.31532022829454,19.284423917283707
14.914122846632385,15.733023584053031
18.064005800013632,17.87695939008874
